id,poster,title,year,rating,genre,action,adventure,animation,comedy,crime,drama,fantasy,horror,mystery,romance,sci-fi,short,thriller,plot
41399,"https://m.media-amazon.com/images/M/MV5BZjMyYjc3YjUtMjI4Yi00YWU4LTliNGItYjBiN2ViNzI0ZGIzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX256,0,256,256_AL_.jpg",Kyle XY,2006,7.5,"drama, mystery, romance",0,0,0,0,0,1,0,0,1,1,0,0,0,"    A Seattle family takes in an amnesiac teen (Dallas), whom they eventually learn has mysterious powers and psychic abilities, the result of a secret human cloning experiment conducted years earlier. The family helps teach Kyle human behaviors such as anger, joy and love, and guards him against forces who seek to use Kyle for their own nefarious purposes."
41400,"https://m.media-amazon.com/images/M/MV5BMjA1NDcyMzY1Ml5BMl5BanBnXkFtZTcwNjc1MDY3MQ@@._V1_UX256,0,256,256_AL_.jpg",Tell No One,2006,7.5,"crime, drama, mystery",0,0,0,0,1,1,0,0,1,0,0,0,0,"    Pediatrician Dr. Alexandre Beck (François Cluzet) misses his beloved wife Margot Beck (Marie-Josée Croze), who was brutally murdered eight years ago when he was the prime suspect. When two bodies are found near where the corpse of Margot was dumped, the Police re-open the case and Alex becomes suspect again. The mystery increases when Alex receives an e-mail showing Margot older and alive."
41401,"https://m.media-amazon.com/images/M/MV5BMTMzODg4MjU4OF5BMl5BanBnXkFtZTYwNDAzNTU3._V1_UX256,0,256,256_AL_.jpg",The Painted Veil,2006,7.5,"drama, romance",0,0,0,0,0,1,0,0,0,1,0,0,0,"    This love story has Kitty (Naomi Watts) meeting young, intelligent, shy and somewhat dull Dr. Walter Fane (Edward Norton), whose forte is the study of infectious diseases, and the convenient marriage to which she finds herself committed. It is in this web of intrigue that they head for China, only after Walter discovers Kitty's infidelity with the dashing and witty diplomat Charlie Townsend (Liev Schreiber). So much as to hide her from herself and to help thwart a cholera outbreak, this is a marriage more than on the rocks. This is a cold, indifferent, and loveless partnership in a vast unknown and deadly environment that will test both of these flightless lovebirds and with the hardships and tolerances more than any had ever anticipated. A visual delight amidst the pain and suffering of dying people and failing marriage. Will a cure be found for both, before it's too late?"
41402,"https://m.media-amazon.com/images/M/MV5BOTMwNWMxNmUtZjQyOS00YjVhLTk2ODktOWUzZWYyNTZkYjBkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX256,0,256,256_AL_.jpg",Terry Pratchett's Hogfather,2006,7.5,"adventure, fantasy, thriller",0,1,0,0,0,0,1,0,0,0,0,0,1,"    It's Hogswatch (equivalent to Christmas) on the Discworld and the Hogfather has gone missing, requiring Death to take his place while his granddaughter Susan endeavors to find out what has happened."
41403,"https://m.media-amazon.com/images/M/MV5BMTkxMjEzNTE0Ml5BMl5BanBnXkFtZTcwNTM3MDAzNA@@._V1_UX256,0,256,256_AL_.jpg",Big Love,2006,7.5,drama,0,0,0,0,0,1,0,0,0,0,0,0,0,    A polygamist and his relationship with his three wives.
41404,"https://m.media-amazon.com/images/M/MV5BNzQ2YmE1MjQtNjdkOS00NjFjLWI4M2YtNDljZDQ3MWU2NWI4XkEyXkFqcGdeQXVyMTA3OTEyODI1._V1_UX256,0,256,256_AL_.jpg",Kekkaishi,2006,7.5,"animation, action, adventure",1,1,1,0,0,0,0,0,0,0,0,0,0,"    Yoshimori and Tokine are just your average kids go to the same school and they also happen to be neighbors. During the day they go their separate ways but at night they both have to go protect the land of Karosumari. A job passed down to them from generations of Kekkaishi in both of their families. The families are 'rivaling' but the two of them get along just fine. At night Yoshimori and Tokine with their demon dogs Hakubi and Madarao, do their best to rid the land of evil. But everything isn't always so simple."
41405,"https://m.media-amazon.com/images/M/MV5BNDE2MDczOTQ5MV5BMl5BanBnXkFtZTcwODk2NzI0MQ@@._V1_UX256,0,256,256_AL_.jpg",Hotel Babylon,2006,7.5,"comedy, drama",0,0,0,1,0,1,0,0,0,0,0,0,0,"    At a posh urban hotel, the love lives and whims of its wealthy guests are attended to by hard-working staff who have their own troubles with love."
41406,"https://m.media-amazon.com/images/M/MV5BMjEzMzE3MzMzMV5BMl5BanBnXkFtZTcwMTMzNTk0MQ@@._V1_UX256,0,256,256_AL_.jpg",Prehistoric Park,2006,7.5,"adventure, drama, sci-fi",0,1,0,0,0,1,0,0,0,0,1,0,0,"    Nigel Marven travels back in time to rescue exotic creatures on the brink of extinction. CGI is used to create animals no longer seen on earth, from woolly mammoths, and T Rex, to dinosaur-eating crocodiles."
41407,"https://m.media-amazon.com/images/M/MV5BMTQ3MjgxNDUzOV5BMl5BanBnXkFtZTcwMzgzNjY0MQ@@._V1_UX256,0,256,256_AL_.jpg",Ayakashi - Samurai Horror Tales,2006,7.5,"animation, horror",0,0,1,0,0,0,0,1,0,0,0,0,0,"    The series is made up of three stories: ""Yotsuya Ghost Story"", an adaptation of the classic Japanese ghost story; ""Goddess of the Dark Tower"", and Goblin Cat."
41408,"https://m.media-amazon.com/images/M/MV5BMTU0MDk5OTQyM15BMl5BanBnXkFtZTYwMDY3ODc3._V1_UX256,0,256,256_AL_.jpg",Snow Cake,2006,7.5,"drama, romance",0,0,0,0,0,1,0,0,0,1,0,0,0,"    Alex Hughes, an ex-convict, is on a road trip to Winnipeg to see an old friend. Along the way, he meets the annoying, but vivacious, Vivienne Freeman who manages to bum a ride with him. Just as he begins to warm to this eccentric girl, Alex's vehicle is in a serious automobile accident that kills Vivienne. After his meeting with the police, Alex decides to speak with Vivienne's mother. Upon arrival at her home, Alex discovers that the mother, Linda, is a highly functional autistic woman who convinces him to stay long to take out the garbage the day after the funeral he agrees to arrange. In those few days, Alex discovers new friends and learns more about the uniqueness of Linda even as he struggles to come to terms with his own grief."
